0.671010E-01	0.686571E+02	0.103733E+02
0.698361E-01	0.699637E+02	0.819834E+01
0.725712E-01	0.678366E+02	0.712769E+01
0.753062E-01	0.663771E+02	0.617305E+01
0.780413E-01	0.686328E+02	0.548976E+01
0.807764E-01	0.707572E+02	0.492812E+01
0.835115E-01	0.691764E+02	0.444579E+01
0.862466E-01	0.701146E+02	0.395634E+01
0.889817E-01	0.684385E+02	0.352331E+01
0.917168E-01	0.670969E+02	0.322502E+01
0.944518E-01	0.681560E+02	0.294350E+01
0.971869E-01	0.663385E+02	0.264273E+01
0.999220E-01	0.684933E+02	0.243997E+01
0.102657E+00	0.659958E+02	0.222590E+01
0.105392E+00	0.663129E+02	0.202099E+01
0.108127E+00	0.683949E+02	0.187613E+01
0.110862E+00	0.694868E+02	0.171925E+01
0.113597E+00	0.683645E+02	0.161108E+01
0.116333E+00	0.686524E+02	0.151327E+01
0.119068E+00	0.668786E+02	0.136348E+01
0.121803E+00	0.683589E+02	0.130872E+01
0.124538E+00	0.670512E+02	0.120263E+01
0.127273E+00	0.665194E+02	0.114764E+01
0.130008E+00	0.660445E+02	0.107925E+01
0.132743E+00	0.662957E+02	0.995290E+00
0.135478E+00	0.655404E+02	0.979372E+00
0.138213E+00	0.650773E+02	0.902008E+00
0.140948E+00	0.654415E+02	0.865862E+00
0.143683E+00	0.660504E+02	0.831487E+00
0.146418E+00	0.653436E+02	0.784352E+00
0.149154E+00	0.653401E+02	0.778898E+00
0.151889E+00	0.653105E+02	0.727020E+00
0.154624E+00	0.651020E+02	0.690512E+00
0.157359E+00	0.642515E+02	0.668686E+00
0.160094E+00	0.648611E+02	0.647038E+00
0.162829E+00	0.650545E+02	0.646115E+00
0.165564E+00	0.640977E+02	0.596762E+00
0.168299E+00	0.646422E+02	0.590363E+00
0.171034E+00	0.634999E+02	0.569749E+00
0.173769E+00	0.639148E+02	0.555496E+00
0.176504E+00	0.641595E+02	0.543802E+00
0.179240E+00	0.643358E+02	0.507459E+00
0.181975E+00	0.640183E+02	0.511973E+00
0.184710E+00	0.643944E+02	0.491884E+00
0.187445E+00	0.635632E+02	0.485702E+00
0.190180E+00	0.634750E+02	0.467234E+00
0.192915E+00	0.635164E+02	0.463926E+00
0.195650E+00	0.633009E+02	0.465114E+00
